GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
empregabilidade,com.teste,IdadeInvalidaException,0,3,0,0,0,1,0,1,0,1
empregabilidade,com.teste,App,4,62,0,22,2,18,1,13,1,2
